,v1,v2
220,ham,ok prob . ur time .
221,ham,os call ubandu run instal hard disk ... use os copy important file system repair shop ..
222,ham,"sorry , later"
223,ham,u leh ... course happen lar . v romantic jus bit lor . thk e nite scenery nice leh .
224,spam,"500 new mobile 2004 , ! txt : nokia : 89545 & collect today!from å£1 www.4-tc.biz 2optout 087187262701.50gbp / mtmsg18"
225,ham,appreciate . need talk .
226,spam,"u meet ur dream partner soon ? ur career 2 flyng start ? 2 find free , txt horo follow ur star sign , e. g. horo aries"
227,ham,hey company elama po mudyadhu .
228,ham,"life strict teacher ... bcoz teacher teach lesson & amp ; conduct exam , life conduct exam & amp ; teach lesson . happy morning . . ."
229,ham,dear good morning
230,ham,gandhipuram walk cross cut road . right & lt;#&gt ; street road turn right .
231,ham,dear go rubber place
232,ham,"sorry battery die , yeah"
233,ham,yes:)here tv available work place ..
234,spam,text & meet sexy today . u find date flirt u. join 4 10p . reply & age eg sam 25 . 18 -msg recd@thirtyeight penny
235,ham,print oh .   & lt;#&gt ;   come upstairs
236,ham,ill little close like bus stop street
237,ham,you?when wil reach ?
238,ham,"new theory : argument win d situation , lose person . not argue ur friend .. . . . kick & amp ; , correct . !"
239,spam,u 447801259231 secret admirer look 2 contact u - find r*reveal think ur special - 09058094597
240,ham,tomarrow final hearing laptop case not .
241,ham,pleassssssseeeeee tel v avent sportsx
242,ham,"okay . , shine . mean sign , sound well ."
243,ham,"tell u dat baig face watch like e watch u give cos fr u. thanx 4 dat u've today , touch ..."
244,ham,u remember old commercial ?
245,ham,late . say website . not slipper
246,ham,ask ok
247,ham,kallis will not bat 2nd inning .
248,ham,not work oh . ok goodnight . i.ll fix ready time wake . dearly miss good night sleep .
249,spam,congratulation ur award 500 cd voucher 125gift guarantee & free entry 2 100 wkly draw txt music 87066 tnc www.ldew.com1win150ppmx3age16
250,ham,ranjith cal drpd deeraj deepak 5min hold
251,ham,"wen ur lovable bcum angry wid u , dnt seriously .. coz angry d childish n true way show deep affection , care n luv ! .. kettoda manda ... nice day da ."
252,ham,doing?how ?
253,ham,"up 3days , shipping company take 2wks . way usp take week get lag bribe nipost stuff ."
254,ham,", lemme know ready"
255,ham,necessarily expect headin
256,ham,mmm yummy babe ... nice jolt suzy
257,ham,lover ? need ...
258,spam,try contact reply offer video handset ? 750 anytime network min ? unlimited text ? camcorder ? reply 08000930705
259,ham,iû÷m park mini ! ! ! ! come today think ?
260,ham,yup
261,ham,go shop . cos sis . dun disturb u liao .
262,ham,. luton 0125698789 ring ur ! h *
263,spam,hey horny want chat naked text hot 69698 text charge 150pm unsubscribe text stop 69698
264,ham,dint come .
265,ham,. wana plan trip sometme
266,ham,"sure , try hold"
267,spam,ur ringtone service change ! 25 free credit ! club4mobiles.com choose content ! stop ? txt club stop 87070 . 150p / wk club4 po box1146 mk45 2wt
268,ham,evo . download flash . jealous ?
269,spam,ringtone club : uk single chart mobile week choose quality ringtone ! message free charge .
270,ham,"come mu , sort narcotic situation"
271,ham,"night end day , morning come special way . smile like sunny ray leave worry blue blue bay ."
272,spam,hmv bonus special 500 pound genuine hmv voucher win . answer 4 easy question . play ! send hmv 86688 info : www.100percent - real.com
273,ham,"usf guess , 1 car"
274,ham,objection . bf come .
275,ham,thanx ...
276,ham,tell rob mack gf theater
277,ham,"awesome , bit"
278,ham,send . type food like ?
279,ham,? hand ? celebration swing ?
280,ham,got call tool ?
281,ham,\wen u miss
282,ham,ok . ask money far
283,ham,okie ...
284,ham,"yeah think usual guy pass night , ahold anybody let know throw"
285,ham,"k , come tonight class let early"
286,ham,ok ..
287,ham,hi baby m cruisin girl friend r u 2 ? hour home s alright fone fone love jenny xxx
288,ham,"life mean lot , love life , love people life , world call friend , world:- ) .. ge:- ) .."
289,ham,"dear , shall mail tonite.busy street , shall update tonite.thing look ok.varunnathu edukkukayee raksha ollu.but good real sense ."
290,ham,hey tell gautham ah ?
291,ham,haf u find ? feel stupid da v cam work .
292,ham,oop . 4 get bit .
293,ham,buzy
294,ham,accidentally delete message . resend .
295,spam,t - mobile customer claim free camera phone upgrade & pay & sim card loyalty . 0845 021 3680.offer end 28thfeb.t&c apply
296,ham,situation gurl appropriate
297,ham,hurt ... tease ... cry ... end life die plz rise grave stupid miss u .. nice day bslvyl
298,ham,not pick phone right . pls send message
299,ham,need coffee run tomo?can't believe time week
300,ham,"awesome , remember time get somebody high time diesel : v"
301,ham,"shit shocking scary , not imagine second . def night . u think crash night , save taxi ?"
302,ham,oh way food fridge ! want meal tonight ?
303,ham,womdarfull actor
304,spam,"sm . ac blind date 4u ! : rodds1 21 / m aberdeen , united kingdom . check http://img . sms . ac / w / icmb3cktz8r7!-4 blind date send hide"
305,ham,yup ... remb ... think book ...
306,ham,jos ask u wana meet ?
307,ham,lol yes . friendship hang thread cause u will buy stuff .
308,spam,"themob > check new selection content , game , tone , gossip , babe sport , mobile fit funky text wap 82468"
309,ham,garage key ? bookshelf
310,ham,today accept day .. u accept ? brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy
311,spam,"think ur smart ? win å£200 week weekly quiz , text play 85222 now!t&cs winnersclub po box 84 , m26 3uz . 16 + . gbp1.50 / week"
312,ham,say friend get money definitely buy end week
313,ham,"hi way u 2day , normal way&this real . ur unique&i hope know u 4 rest mylife . hope u find wot lose ."
314,ham,day . great day .
315,ham,k.k:)advance happy pongal .
316,ham,"hmmm ... guess 4 kb n power yoga ... haha , dunno tahan power yoga anot ... thk get lo oso , forgot liao ..."
317,ham,"dude , friend afraid :("
318,spam,december ! mobile 11mths+ ? entitle update late colour camera mobile free ! mobile update co free 08002986906
319,ham,"coffee cake , guess ..."
320,ham,"merry christmas babe , love ya * kiss *"
321,ham,hey ... not watch x man lunch ... haha
322,ham,cud u tell ppl m gona b bit l8 cos 2 bus hav gon past cos & m waitin 4 1 . pete x
323,ham,great . guild . meet bristol road - touch weekend . plan flight ! good week
324,ham,problem . ?
325,ham,call .. message .. miss call
326,ham,hi da:)how todays class ?
327,ham,"good sign , , know track record read woman"
328,ham,"cool , text park"
329,ham,read text send . mean joke . read light
330,ham,k.k:)apo k.good movie .
331,ham,maybe book tomo return immediately .. ? .
332,spam,germany 1 penny minute ! fix line access number 0844 861 85 85 . prepayment . direct access !
333,ham,chance evaporate soon violate privacy steal phone number employer paperwork . cool . contact report supervisor .
334,spam,valentine day special ! win å£1000 quiz partner trip lifetime ! send 83600 . 150p / msg rcvd . custcare:08718720201 .
335,ham,"ta - daaaaa ! home babe , ?"
336,ham,cool . come not wine dine ?
337,ham,sleep .. surf
338,ham,"sorry , later"
339,ham,u call right ? hand phone ...
340,ham,ok great thanx lot .
341,ham,post come ! 1000 text ! happy reading . wiv hello caroline end favourite . bless
342,ham,u hide strange ?
343,ham,interested like .
344,ham,sister clear round birla soft yesterday .
345,ham,gudnite .... tc ... practice go
346,ham,dis yijue . ju see ur mail . case huiming not send u num . dis num .
347,ham,small prestige problem .
348,spam,fancy shag ? do.intereste ? sextextuk.com txt xxuk suzy 69876 . txt cost 1.50 msg . tnc website . x
349,ham,check . miss see jeremiah . great month
350,ham,"nah help , iphone"
351,ham,car hour half go apeshit
352,ham,"today sorry day . ! angry , misbehave hurt ? plz plz slap urself bcoz , ur fault , basically good"
353,ham,yo guy figure need alcohol ? jay try figure safely spend weed
354,ham,& lt;#&gt ; ish minute 5 minute ago . wtf .
355,ham,"thank calling.forgot happy onam sirji.i fine remember meet insurance person.meet qatar insha allah.rakhesh , ex tata aig join tissco , tayseer ."
356,spam,congratulation ur award 500 cd voucher 125gift guarantee & free entry 2 100 wkly draw txt music 87066 tnc www.ldew.com1win150ppmx3age16
357,spam,ur cash - balance currently 500 pound - maximize ur cash - send cash 86688 150p / msg . cc : 08708800282 hg / suite342/2lands row / w1j6hl
358,ham,"actor . work , work evening sleep late . unemployed moment , sleep late . unemployed , day saturday ."
359,ham,"hello ! get , st andrews - boy long way ! cold . post"
360,ham,ha ha cool cool chikku chikku:-):-db- )
361,ham,oh ok prob ..
362,ham,check audrey status right
363,ham,busy . try finish new year . look forward finally meet ...
364,ham,"good afternoon sunshine ! dawn day ? refresh happy alive ? breathe air smile ? think , love ..."
365,ham,know z care . worry .
366,spam,"update_now - xmas offer ! late motorola , sonyericsson & nokia & free bluetooth ! double min & 1000 txt orange . mobileupd8 08000839402 call2optout / f4q="
367,spam,discount code rp176781 . stop message reply stop . www.regalportfolio.co.uk . customer service 08717205546
368,ham,wat uniform ? ?
369,ham,"cool , text ready"
370,ham,"hello boytoy ... geeee miss wake . wish bed , cuddle . love ..."
371,ham,spoil bed :)
372,ham,go bath msg   & lt;#&gt ;   min ..
373,ham,not talk people sure pay agree price . pls tell want buy willing pay
374,spam,"thank ringtone order , reference t91 . charge gbp 4 week . unsubscribe anytime call customer service 09057039994"
375,ham,happen
376,ham,see .. did't recognise face . :)
377,ham,lot thing happen lindsay new year * sigh * bar ptbo blue heron go
378,ham,payasam rinu bring
379,ham,teach ranjith sir call . sm like . becaus s verify project . prabu tell today pa not mistake ..
380,ham,"guess worried . know way body repair . sure worry . slow . test , guide ovulation relax . say reason worry i.ll followin ."
381,ham,"yeah sure , couple minute track wallet"
382,ham,hey leave . big deal:- ) care .
383,ham,hey late ah ... meet 945 +
384,spam,"double min txt 4 6months free bluetooth orange . available sony , nokia motorola phone . mobileupd8 08000839402 call2optout / n9dx"
385,ham,take mr owl 3 lick
386,ham,customer place .
387,ham,mm time not like fun
388,spam,4mth half price orange line rental & late camera phone 4 free . phone 11mth ? mobilesdirect free 08000938767 update ! or2stoptxt
389,ham,yup have lunch buffet .. u eat ?
390,ham,huh late ... fr dinner ?
391,ham,hey sit go intro pilate ? kickboxing ?
392,ham,morning ok .
393,ham,yes think . office lap room think s day . not shut
394,ham,pick bout 7.30ish ? time   go ?
395,ham,performance award calculate month.not current month period ..
396,ham,actually sleep u . text gr8 . rock sis . send u text wen wake .
397,ham,"put business . picture ass facebook . open people meet . think picture room hurt , feel violate ."
398,ham,"good evening sir , al salam wahleykkum.share happy news.by grace god , get offer tayseer , tissco joined.hope fine.inshah allah , meet sometime.rakhesh , visitor india ."
399,ham,hmmm ... k ... want change field quickly da:-)i wanna system administrator network administrator ..
400,spam,"free ringtone text 87131 poly text 87131 true tone ! help ? 0845 2814032 16 1st free , tone 3xå£150pw eå£nd txt stop"
401,ham,dear chechi . talk
402,ham,hair cream ship .
403,ham,happen til
404,ham,"yep , great loxahatchee xmas tree burn   & lt;#&gt ;   start hour"
405,ham,"haha drive usf man , know lot stoner"
406,ham,slightly disastrous class pm fav darling ! hope day ok . coffee wld good stay late tomorrow . time + place ?
407,ham,hello ! good week ? fancy drink later ?
408,ham,headin busetop
409,ham,message : text miss * sender : miss * * number miss * send : date miss * miss u lot s y missing send fullonsms.com
410,ham,come room point iron plan weekend
411,ham,cos want thing
412,ham,"okie ... yan jiu ... skip ard oso , cine den mrt , blah blah blah ..."
413,ham,bring home wendy = d
414,spam,100 date service cal;l 09064012103 box334sk38ch
415,ham,whatsup . not u want sleep
416,ham,alright new goal
417,spam,free entry å£250 weekly competition text word win 80086 . 18 t&c www.txttowin.co.uk
418,ham,"alright , head minute , text meet"
419,spam,send logo 2 ur lover - 2 name join heart . txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo ! pobox36504w45wq txtno 4 ad 150p
420,ham,yes:)from week take live .
421,spam,contact date service enter phone fancy ! find landline 09111032124 . pobox12n146tf150p
422,ham,siva hostel aha:- .
423,spam,urgent ! mobile number award å£2000 prize guarantee . 09058094455 land line . claim 3030 . valid 12hrs
424,ham,send ur friend receive ur voice ..... speak expression ? 1.childish 2.naughty 3.sentiment 4.rowdy 5.ful attitude 6.romantic 7.shy 8.attractive 9.funny   & lt;#&gt ; .irritating   & lt;#&gt ; .lovable . reply ..
425,ham,ok . ok . guess
426,ham,aathi .. dear ..
427,ham,pain urination thing ?
428,ham,7 esplanade .. ì _ mind give lift cos get car today ..
429,ham,wnt buy bmw car urgently .. vry urgent.but hv shortage   & lt;#&gt ; lacs.there source arng dis amt . & lt;#&gt ; lac .. that prob
430,ham,home watch tv lor .
431,ham,usually fucking minute respond yes question
432,spam,congrat ! nokia 3650 video camera phone 09066382422 call cost 150ppm ave 3mins vary mobile 16 + close 300603 post bcm4284 ldn wc1n3xx
433,ham,book ticket pongal ?
434,ham,available ? like right hillsborough & amp ;   & lt;#&gt ; th
435,ham,message send askin   & lt;#&gt ; dollar . shoul pay   & lt;#&gt ;     & lt;#&gt ; ?
436,ham,"ask g iouri , tell story like time"
437,ham,long applebee fucking
438,ham,"hi hope u txt ~ journey not gd , 50 min late think ."
439,ham,. like love arrange .
440,ham,yes .. great .. bhaji tell kallis good cricketer sachin world:).very tough .
441,ham,suppose wake & gt ; :(
442,ham,oic ... see tot din c ... find group liao ...
443,ham,"sorry , later"
444,ham,\hey hey werethe monkeespeople monkeyaround ! howdy gorgeous
445,ham,"sorry , battery die , come get gram , place ?"
446,ham,", blimey , exercise , yeah , kinda remember wot , hmm ."
447,ham,will not concentration dear know mind :-)
448,ham,lol ... plan new year ?
449,ham,10 min later k ...
450,ham,hank lotsly !
451,ham,thank hope good day today
452,ham,k:)k:)what detail want transfer?acc ?
453,ham,ok tell stay . yeah tough optimistic thing improve month .
454,spam,"loan purpose å£500 - å£75,000 . homeowner + tenant welcome . previously refuse ? help . free 0800 1956669 text ' help '"
455,ham,si si . think ill oreo truffle .
456,ham,"look amy ure beautiful , intelligent woman like u lot . know u donåõt like like donåõt worry ."
457,ham,hope result consistently intelligent kind . start ask practicum link ear open good . ttyl
458,ham,"1.20 cost . guess not bad . miss ya , need ya , want ya , love ya"
459,ham,go different feeling.wavering decision cope individual.time heal believe .
460,ham,u ? phone go to die stay
461,ham,great . well . day give reason thank god
462,spam,"upgrdcentre orange customer , claim free camera phone upgrade loyalty . 0207 153 9153 . offer end 26th july . t&c apply . opt - available"
463,ham,"sorry , later ok bye"
464,ham,ok way railway
465,ham,great princess ! love give receive oral . doggy style fave position . ? enjoy make love   & lt;#&gt ;   time night :)
466,ham,stuff road get slippery ?
467,ham,go ride bike ?
468,ham,"yup , need . jus wait 4 e rain 2 stop ."
469,ham,company . tell language .
470,spam,okmail : dear dave final notice collect 4 * tenerife holiday # 5000 cash award ! 09061743806 landline . tcs sae box326 cw25wx 150ppm
471,ham,"long scream , princess ?"
472,ham,". mean money enter account , bank remove flat rate . transfer   & lt;#&gt ;   account   & lt;#&gt ; dollar got remove . bank differ charge differ.be sure trust 9ja person send account detail cos ..."
473,spam,want 2 lay tonight ? want real dog location send direct 2 ur mob ? join uk large dogging network txte moan 69888nyt . ec2a . 31p.msg@150p
474,ham,nice line say broken heart- plz cum 1 time infront ... wise ll trust u ... good 9 t :)
475,ham,ok go to head usf like minute
476,ham,love aathi .. love u lot ..
477,ham,tension ah?what machi?any problem ?
478,ham,"k , pick 8th ?"
479,ham,guy get ? g say think stay mcr
480,ham,", u sec"
481,ham,"yo carlos , friend ask , work weekend ?"
482,ham,watch tv lor ...
